iter	RMSE
0	11.83079317
1	11.44925964
2	11.0881157
3	10.73801362
4	10.40462941
5	10.08281744
6	9.783459798
7	9.501213587
8	9.230145528
9	8.964864223
10	8.716052473
11	8.473735844
12	8.247186797
13	8.030577264
14	7.820359159
15	7.631484725
16	7.443636526
17	7.267351052
18	7.104995503
19	6.946688563
20	6.80356331
21	6.665876033
22	6.52995773
23	6.40593714
24	6.285668001
25	6.172805093
26	6.066232783
27	5.970762727
28	5.876023319
29	5.789935688
30	5.705551544
31	5.628069584
32	5.554473313
33	5.486293565
34	5.421344966
35	5.358833067
36	5.301659411
37	5.246528747
38	5.196853531
39	5.148787045
40	5.105433643
41	5.064149125
42	5.024465959
43	4.98759139
44	4.953422253
45	4.920594297
46	4.890060522
47	4.862209906
48	4.836223165
49	4.811713517
50	4.78416225
51	4.759551301
52	4.733708404
53	4.705405656
54	4.680775009
55	4.663778845
56	4.64676021
57	4.625290574
58	4.610070685
59	4.595938451
60	4.58008312
61	4.566381793
62	4.549640192
63	4.530775475
64	4.520041219
65	4.509662155
66	4.498013958
67	4.47972818
68	4.468435377
69	4.459565737
70	4.447549731
71	4.432267057
72	4.421500864
73	4.410422978
74	4.398024905
75	4.386994135
76	4.381825698
77	4.374369216
78	4.367349983
79	4.35695311
80	4.347723533
81	4.33858289
82	4.330673657
83	4.320473875
84	4.316739747
85	4.311218561
86	4.303682764
87	4.295504335
88	4.288994285
89	4.275680551
90	4.258235203
91	4.251092649
92	4.239328815
93	4.224745259
94	4.221714225
95	4.212363602
96	4.206545615
97	4.197261261
98	4.19436671
99	4.183699047
100	4.17044865
101	4.158266979
102	4.153161392
103	4.143415169
104	4.139082133
105	4.128274082
106	4.125795172
107	4.123509534
108	4.119749871
109	4.107286506
110	4.096193626
111	4.093089637
112	4.091748358
113	4.083828171
114	4.082357678
115	4.08058302
116	4.068056341
117	4.056227445
118	4.048199928
119	4.046921971
120	4.04387159
121	4.037092127
122	4.029450388
123	4.022352206
124	4.012389752
125	4.011270419
126	4.010086649
127	4.00634239
128	3.99886926
129	3.990809491
130	3.98636495
131	3.983459953
132	3.978820573
133	3.977626668
134	3.971911485
135	3.963741946
136	3.957346375
137	3.949418259
138	3.943662978
139	3.942913037
140	3.938050248
141	3.932366776
142	3.928427242
143	3.922505755
144	3.920469739
145	3.914929511
146	3.912954797
147	3.911345939
148	3.905512384
149	3.903722108
150	3.9024132
151	3.900476225
152	3.895262499
153	3.89422875
154	3.893361287
155	3.89245463
156	3.88746907
157	3.886985716
158	3.884822286
159	3.884020779
160	3.882707663
161	3.876254553
162	3.875514823
163	3.874142222
164	3.87149602
165	3.867800473
166	3.863631052
167	3.862761572
168	3.861283855
169	3.860543016
170	3.858121705
171	3.854735944
172	3.851304039
173	3.850562319
174	3.848979656
175	3.848290592
176	3.846728613
177	3.845507348
178	3.844175364
179	3.840774121
180	3.838357011
181	3.837098897
182	3.836602581
183	3.836191783
184	3.834546607
185	3.833192102
186	3.830852348
187	3.828349868
188	3.824692295
189	3.822417403
190	3.819889691
191	3.818731899
192	3.816715905
193	3.816361163
194	3.815338464
195	3.813560383
196	3.812901344
197	3.812044584
198	3.8092324
199	3.808528593
200	3.806963688
201	3.806455041
202	3.805772442
203	3.804943266
204	3.80439125
205	3.803057417
206	3.802389974
207	3.801322326
208	3.800629398
209	3.799680687
210	3.798733399
211	3.797145204
212	3.796704283
213	3.795809061
214	3.794983616
215	3.793962092
216	3.793281685
217	3.79269379
218	3.790549831
219	3.789274512
220	3.788785109
221	3.788178207
222	3.786612367
223	3.786274066
224	3.785627481
225	3.784241233
226	3.783109477
227	3.782641746
228	3.781772212
229	3.780935159
230	3.779575671
231	3.778976739
232	3.778532104
233	3.777337988
234	3.776724028
235	3.776260157
236	3.775817718
237	3.775297737
238	3.773801618
239	3.773480076
240	3.772824999
241	3.772228829
242	3.771527088
243	3.770972611
244	3.770604335
245	3.770077623
246	3.769444214
247	3.768567983
248	3.76816652
249	3.76717397
250	3.766550576
251	3.765884064
252	3.765362955
253	3.764773343
254	3.76337555
255	3.762952015
256	3.762447898
257	3.762031206
258	3.761617982
259	3.761106493
260	3.760645157
261	3.760153158
262	3.759663175
263	3.759042711
264	3.758478728
265	3.757931945
266	3.757553034
267	3.756712497
268	3.756085911
269	3.755400689
270	3.754401237
271	3.753757186
272	3.752618489
273	3.75201988
274	3.751578116
275	3.750801089
276	3.750262068
277	3.749501886
278	3.748826859
279	3.748266529
280	3.747833076
281	3.747318777
282	3.746787685
283	3.746018524
284	3.745500208
285	3.744966032
286	3.744035683
287	3.743480634
288	3.742751703
289	3.742300578
290	3.741730224
291	3.740778117
292	3.740327562
293	3.739561199
294	3.739001882
295	3.7384587
296	3.737942499
297	3.737235694
298	3.736795501
299	3.73606741
300	3.735495976
301	3.734868892
302	3.734370242
303	3.733923491
304	3.733623105
305	3.732971312
306	3.732633301
307	3.731630596
308	3.731027286
309	3.730492831
310	3.730065795
311	3.729284837
312	3.728006173
313	3.727241965
314	3.726622266
315	3.726203207
316	3.72572899
317	3.725287626
318	3.724818049
319	3.724416917
320	3.724051607
321	3.723592352
322	3.722874193
323	3.722374537
324	3.721853026
325	3.721341174
326	3.720774756
327	3.72014996
328	3.719606448
329	3.719078361
330	3.718631478
331	3.718252577
332	3.717509697
333	3.717117541
334	3.716439014
335	3.716102668
336	3.71542526
337	3.715075421
338	3.71458794
339	3.714118386
340	3.713227383
341	3.712638119
342	3.711815641
343	3.711377777
344	3.710697202
345	3.709843211
346	3.709484541
347	3.708944334
348	3.708577685
349	3.708023842
350	3.707522382
351	3.706826212
352	3.706332623
353	3.705899854
354	3.705500289
355	3.704727289
356	3.704203608
357	3.703774006
358	3.703288856
359	3.702567623
360	3.702125412
361	3.701567013
362	3.701082509
363	3.700659112
364	3.700219568
365	3.699665453
366	3.699084707
367	3.69811503
368	3.697577075
369	3.697104054
370	3.696656334
371	3.696057931
372	3.695069315
373	3.694453362
374	3.694100064
375	3.69353852
376	3.692928687
377	3.692382328
378	3.691875412
379	3.691305702
380	3.690822292
381	3.690266834
382	3.689789995
383	3.689295037
384	3.688883321
385	3.688666455
386	3.688160792
387	3.687512685
388	3.687110356
389	3.686824305
390	3.686370064
391	3.685823545
392	3.685287992
393	3.684721022
394	3.684327439
395	3.683656566
396	3.682955665
397	3.682493382
398	3.682113161
399	3.681803611
400	3.681417645
401	3.680729029
402	3.680250897
403	3.679772342
404	3.679091217
405	3.67862216
406	3.67796354
407	3.677267659
408	3.676849601
409	3.676503992
410	3.676047911
411	3.675594735
412	3.675125353
413	3.674673382
414	3.674272884
415	3.673748555
416	3.673266098
417	3.672734515
418	3.672341692
419	3.67174302
420	3.671242394
421	3.670766469
422	3.670211341
423	3.669639723
424	3.669159569
425	3.668682797
426	3.668232836
427	3.667648786
428	3.667158822
429	3.666575679
430	3.66611149
431	3.665608674
432	3.665060381
433	3.664564328
434	3.663951721
435	3.663370219
436	3.662754118
437	3.662452487
438	3.661874951
439	3.661411309
440	3.660872105
441	3.660329081
442	3.659861945
443	3.659381149
444	3.658841823
445	3.658487412
446	3.657888509
447	3.657317077
448	3.656852746
449	3.656480181
450	3.655905347
451	3.655428677
452	3.654912772
453	3.654502895
454	3.654029017
455	3.653541916
456	3.653051591
457	3.652545754
458	3.652098266
459	3.651567265
460	3.651150717
461	3.650608075
462	3.650263712
463	3.649823773
464	3.649091807
465	3.648717951
466	3.64824391
467	3.647771329
468	3.647305837
469	3.646852506
470	3.64637279
471	3.645955113
472	3.645396276
473	3.64509359
474	3.644714989
475	3.644331245
476	3.643899644
477	3.642964443
478	3.642361817
479	3.642009771
480	3.641682707
481	3.641177936
482	3.640793884
483	3.640362699
484	3.639746798
485	3.639331629
486	3.638804511
487	3.638345122
488	3.637973396
489	3.637544432
490	3.637253049
491	3.636761402
492	3.636302016
493	3.635942097
494	3.635431508
495	3.634920163
496	3.634356999
497	3.63399646
498	3.633415884
499	3.633007175
