iter	Passed	Remaining
0	18	9320
1	37	9380
2	58	9622
3	76	9543
4	94	9317
5	110	9133
6	127	8974
7	143	8827
8	159	8703
9	175	8622
10	192	8546
11	208	8474
12	223	8371
13	238	8269
14	252	8172
15	267	8099
16	282	8023
17	297	7963
18	312	7914
19	328	7875
20	343	7827
21	358	7785
22	373	7747
23	389	7715
24	404	7680
25	419	7648
26	433	7596
27	447	7540
28	461	7495
29	476	7460
30	491	7438
31	506	7404
32	521	7380
33	536	7352
34	551	7329
35	565	7283
36	578	7241
37	594	7223
38	625	7394
39	640	7370
40	655	7343
41	671	7319
42	685	7290
43	700	7260
44	714	7227
45	729	7195
46	743	7168
47	758	7144
48	773	7118
49	788	7096
50	803	7073
51	818	7047
52	832	7023
53	846	6990
54	860	6959
55	875	6938
56	890	6917
57	905	6897
58	920	6879
59	936	6864
60	951	6848
61	967	6832
62	981	6807
63	995	6783
64	1011	6766
65	1039	6836
66	1054	6815
67	1069	6795
68	1084	6772
69	1099	6753
70	1114	6734
71	1129	6712
72	1144	6691
73	1157	6666
74	1171	6639
75	1186	6620
76	1200	6595
77	1215	6576
78	1229	6554
79	1245	6537
80	1260	6518
81	1274	6498
82	1288	6474
83	1301	6446
84	1316	6428
85	1331	6411
86	1346	6391
87	1361	6374
88	1377	6361
89	1394	6354
90	1409	6334
91	1424	6316
92	1437	6290
93	1451	6268
94	1465	6246
95	1479	6227
96	1494	6208
97	1507	6185
98	1522	6167
99	1536	6144
100	1549	6122
101	1563	6099
102	1577	6079
103	1591	6059
104	1606	6042
105	1620	6024
106	1637	6015
107	1652	5997
108	1668	5985
109	1681	5961
110	1694	5939
111	1710	5924
112	1725	5909
113	1739	5891
114	1755	5876
115	1770	5861
116	1784	5841
117	1798	5820
118	1811	5799
119	1825	5781
120	1840	5764
121	1855	5750
122	1870	5733
123	1885	5716
124	1899	5697
125	1914	5682
126	1929	5667
127	1943	5648
128	1958	5631
129	1972	5613
130	1986	5594
131	2002	5581
132	2018	5570
133	2034	5557
134	2048	5539
135	2062	5520
136	2075	5500
137	2090	5484
138	2104	5466
139	2119	5451
140	2134	5435
141	2149	5419
142	2163	5401
143	2177	5383
144	2191	5366
145	2207	5351
146	2222	5337
147	2238	5323
148	2252	5307
149	2268	5292
150	2282	5276
151	2297	5260
152	2312	5244
153	2327	5228
154	2342	5213
155	2356	5195
156	2369	5176
157	2384	5160
158	2399	5145
159	2414	5130
160	2428	5114
161	2444	5100
162	2459	5085
163	2474	5070
164	2489	5055
165	2503	5037
166	2517	5019
167	2531	5003
168	2547	4989
169	2561	4972
170	2576	4956
171	2591	4941
172	2605	4924
173	2619	4907
174	2633	4890
175	2647	4873
176	2662	4857
177	2677	4842
178	2691	4826
179	2705	4810
180	2721	4797
181	2737	4783
182	2751	4766
183	2765	4748
184	2779	4732
185	2793	4715
186	2807	4699
187	2822	4683
188	2837	4669
189	2852	4654
190	2866	4637
191	2880	4621
192	2895	4605
193	2910	4590
194	2924	4574
195	2939	4559
196	2955	4546
197	2972	4533
198	2988	4519
199	3003	4505
200	3018	4489
201	3033	4474
202	3046	4457
203	3060	4440
204	3074	4424
205	3090	4411
206	3105	4396
207	3119	4379
208	3133	4363
209	3149	4348
210	3164	4334
211	3178	4317
212	3191	4300
213	3206	4285
214	3222	4271
215	3237	4256
216	3253	4242
217	3268	4228
218	3283	4212
219	3298	4198
220	3313	4183
221	3328	4168
222	3342	4151
223	3357	4136
224	3371	4121
225	3386	4105
226	3402	4092
227	3417	4077
228	3432	4061
229	3446	4046
230	3460	4029
231	3474	4013
232	3488	3997
233	3503	3982
234	3518	3968
235	3533	3953
236	3549	3938
237	3565	3924
238	3580	3909
239	3594	3894
240	3608	3878
241	3622	3861
242	3636	3845
243	3650	3830
244	3665	3814
245	3679	3799
246	3695	3784
247	3709	3769
248	3723	3753
249	3737	3737
250	3752	3722
251	3766	3707
252	3781	3692
253	3796	3676
254	3810	3661
255	3826	3646
256	3840	3631
257	3854	3615
258	3868	3599
259	3882	3584
260	3897	3569
261	3912	3554
262	3927	3539
263	3942	3524
264	3959	3510
265	3975	3496
266	3990	3482
267	4004	3466
268	4018	3450
269	4032	3434
270	4047	3420
271	4061	3404
272	4076	3389
273	4092	3375
274	4108	3361
275	4123	3346
276	4138	3331
277	4152	3316
278	4167	3301
279	4182	3286
280	4198	3271
281	4213	3256
282	4228	3241
283	4242	3226
284	4257	3211
285	4272	3196
286	4287	3181
287	4301	3166
288	4317	3151
289	4330	3135
290	4344	3120
291	4359	3105
292	4375	3090
293	4390	3076
294	4405	3061
295	4419	3046
296	4433	3030
297	4447	3014
298	4461	2999
299	4475	2983
300	4490	2968
301	4506	2954
302	4521	2939
303	4536	2924
304	4550	2909
305	4565	2894
306	4580	2879
307	4594	2864
308	4608	2848
