Date,Day_of_Week,Season,Weather,Product,Category,Unit_Price,Num_Customers,Sales,Stocks,Shelf_Life,Days_Until_Next_Purchase,Event,Purchase_Quantity
2025-01-08,Wednesday,Winter,Snowy,Milk,Dairy,56.38,5508,3426959.199710822,28,7,7,Daily event,15
2025-01-08,Wednesday,Winter,Snowy,Eggs,Dairy,78.07,5508,3426959.199710822,6,21,1,Daily event,39
2025-01-08,Wednesday,Winter,Snowy,Chicken,Meat,211.43,5508,3426959.199710822,8,5,1,Daily event,39
2025-01-08,Wednesday,Winter,Snowy,Tomatoes,Vegetables,135.53,5508,3426959.199710822,25,10,10,Daily event,12
2025-01-08,Wednesday,Winter,Snowy,Apples,Fruits,47.71,5508,3426959.199710822,23,30,30,Daily event,14
2025-01-08,Wednesday,Winter,Snowy,Salmon,Seafood,399.01,5508,3426959.199710822,7,3,1,Daily event,38
2025-01-08,Wednesday,Winter,Snowy,Cheese,Dairy,303.59,5508,3426959.199710822,22,9,9,Daily event,18
2025-01-08,Wednesday,Winter,Snowy,Lettuce,Vegetables,65.06,5508,3426959.199710822,24,5,5,Daily event,12
2025-01-08,Wednesday,Winter,Snowy,Pork,Meat,277.57,5508,3426959.199710822,27,7,7,Daily event,15
2025-01-08,Wednesday,Winter,Snowy,Potatoes,Vegetables,15.18,5508,3426959.199710822,30,9,9,Daily event,16
