Date,Day_of_Week,Season,Weather,Product,Category,Unit_Price,Num_Customers,Sales,Stocks,Shelf_Life,Days_Until_Next_Purchase,Event,Purchase_Quantity
2004-01-03,Saturday,Winter,Cold,Pork,Other,25.6,7670,4591285.815771194,18,7,7,None,76
2003-12-31,Wednesday,Winter,Cold,Eggs,Dairy,7.2,7261,4329426.052585107,5,21,1,New Year,85
2004-01-04,Sunday,Winter,Snowy,Lettuce,Vegetables,6.0,5710,3435602.630392986,27,5,5,Special Promotion,60
2004-01-03,Saturday,Winter,Snowy,Tomatoes,Vegetables,12.5,5739,3412623.8656760734,20,10,10,None,60
2003-12-31,Wednesday,Winter,Snowy,Chicken,Meat,19.5,6229,3743264.539661109,10,5,5,New Year,70
2004-01-03,Saturday,Winter,Cold,Potatoes,Vegetables,1.4,7045,4240538.875212464,11,90,90,Special Promotion,79
2004-01-06,Tuesday,Winter,Cold,Pork,Other,25.6,7424,4433041.005454286,22,7,7,None,78
2004-01-06,Tuesday,Winter,Cloudy,Lettuce,Vegetables,6.0,7366,4423393.1471481705,25,5,5,None,73
2004-01-02,Friday,Winter,Cloudy,Milk,Dairy,5.2,7378,4404054.547951151,8,7,1,Special Promotion,87
2004-01-04,Sunday,Winter,Snowy,Milk,Dairy,5.2,5617,3375218.607135116,2,7,1,Seasonal Event,75
2004-01-08,Thursday,Winter,Cloudy,Pork,Other,25.6,7378,4427076.723462682,29,7,7,Holiday Special,79
2004-01-08,Thursday,Winter,Snowy,Pork,Other,25.6,5373,3212056.1401975867,25,7,7,Birthdays,65
2004-01-06,Tuesday,Winter,Snowy,Milk,Dairy,5.2,5614,3363163.5941677303,30,7,7,Birthdays,65
2003-12-31,Wednesday,Winter,Snowy,Salmon,Other,36.8,5497,3296373.1963475565,5,3,1,New Year,70
2003-12-31,Wednesday,Winter,Snowy,Eggs,Dairy,7.2,5994,3581030.8801661986,29,21,21,New Year,60
2003-12-31,Wednesday,Winter,Cloudy,Eggs,Dairy,7.2,7566,4537579.057209747,15,21,21,Corporate Event,75
2004-01-07,Wednesday,Winter,Cold,Lettuce,Vegetables,6.0,7572,4545498.770597748,6,5,1,None,82
2004-01-04,Sunday,Winter,Snowy,Tomatoes,Vegetables,12.5,5756,3446459.9760188553,23,10,10,Corporate Event,60
2003-12-31,Wednesday,Winter,Snowy,Cheese,Dairy,28.0,5080,3032014.8676146492,11,90,90,New Year,65
2004-01-03,Saturday,Winter,Cold,Potatoes,Vegetables,1.4,7481,4509783.451823616,5,90,1,Special Promotion,89
2004-01-07,Wednesday,Winter,Cold,Tomatoes,Vegetables,12.5,7291,4370989.222884439,17,10,10,None,71
2004-01-02,Friday,Winter,Snowy,Apples,Fruits,4.4,5863,3529788.7616291265,15,30,30,None,60
2004-01-06,Tuesday,Winter,Cloudy,Milk,Dairy,5.2,7455,4471375.959313872,9,7,1,Corporate Event,89
2004-01-06,Tuesday,Winter,Snowy,Milk,Dairy,5.2,5887,3544031.515090164,16,7,7,Corporate Event,65
2003-12-31,Wednesday,Winter,Cloudy,Chicken,Meat,19.5,7396,4436040.1728624245,5,5,1,New Year,81
