Date,Day_of_Week,Season,Weather,Product,Category,Unit_Price,Num_Customers,Sales,Stocks,Shelf_Life,Days_Until_Next_Purchase,Event,Purchase_Quantity
2004-01-04,Sunday,Winter,Cloudy,Potatoes,Vegetables,1.4,7192,4274993.991547223,17,90,90,,65
2004-01-01,Thursday,Winter,Cold,Tomatoes,Vegetables,12.5,7314,4387224.756131506,8,10,1,,71
2004-01-02,Friday,Winter,Cloudy,Cheese,Dairy,28.0,7586,4585087.343015848,16,90,90,,65
2004-01-04,Sunday,Winter,Cold,Eggs,Dairy,7.2,7659,4561975.4382011015,25,21,21,,62
2004-01-02,Friday,Winter,Cold,Salmon,Other,36.8,7394,4442916.521659793,24,3,3,,63
2004-01-02,Friday,Winter,Snowy,Pork,Other,25.6,5902,3539067.8923032056,8,7,1,,65
2004-01-01,Thursday,Winter,Cloudy,Lettuce,Vegetables,6.0,7509,4520341.506363677,9,5,1,,71
2004-01-03,Saturday,Winter,Snowy,Lettuce,Vegetables,6.0,5289,3172319.351218079,5,5,1,,60
2004-01-01,Thursday,Winter,Cold,Apples,Fruits,4.4,7092,4238126.068459155,24,30,30,,60
2004-01-02,Friday,Winter,Snowy,Pork,Other,25.6,5953,3596749.1199389775,2,7,1,,65
2004-01-05,Monday,Winter,Cloudy,Lettuce,Vegetables,6.0,7349,4416858.952845094,10,5,5,,60
2004-01-03,Saturday,Winter,Snowy,Salmon,Other,36.8,5971,3591025.5036660577,20,3,3,,50
2004-01-01,Thursday,Winter,Snowy,Apples,Fruits,4.4,5493,3299648.5419359836,30,30,30,,50
2004-01-05,Monday,Winter,Snowy,Cheese,Dairy,28.0,5755,3481159.5732039716,20,90,90,,55
2004-01-08,Thursday,Winter,Cloudy,Cheese,Dairy,28.0,7325,4407845.892114205,23,90,90,,69
2004-01-05,Monday,Winter,Snowy,Potatoes,Vegetables,1.4,5714,3456504.598191972,29,90,90,,55
2004-01-04,Sunday,Winter,Cold,Salmon,Other,36.8,7180,4291445.988002602,12,3,3,,65
2004-01-03,Saturday,Winter,Snowy,Milk,Dairy,5.2,5780,3475545.816296621,16,7,7,,55
2004-01-01,Thursday,Winter,Snowy,Tomatoes,Vegetables,12.5,6030,3618723.9914177503,28,10,10,,62
2004-01-09,Friday,Winter,Cloudy,Cheese,Dairy,28.0,7444,4456436.412264912,10,90,90,,69
2004-01-06,Tuesday,Winter,Cloudy,Salmon,Other,36.8,7343,4349889.329378431,3,3,1,,71
2004-01-02,Friday,Winter,Cloudy,Tomatoes,Vegetables,12.5,7042,4237796.358068422,4,10,1,,74
2004-01-05,Monday,Winter,Snowy,Eggs,Dairy,7.2,5377,3251250.7511052005,30,21,21,,50
2004-01-08,Thursday,Winter,Snowy,Lettuce,Vegetables,6.0,5935,3573978.4923234372,16,5,5,,50
2004-01-05,Monday,Winter,Cold,Tomatoes,Vegetables,12.5,7104,4254663.812275386,14,10,10,,63
2004-01-08,Thursday,Winter,Cloudy,Tomatoes,Vegetables,12.5,7427,4447566.140166778,24,10,10,,61
2004-01-03,Saturday,Winter,Snowy,Pork,Other,25.6,5952,3595736.8493824704,13,7,7,,55
2004-01-01,Thursday,Winter,Snowy,Apples,Fruits,4.4,5714,3402131.4387448155,1,30,1,,60
2004-01-12,Monday,Winter,Cloudy,Cheese,Dairy,28.0,7296,4406144.624152427,26,90,90,,70
2004-01-08,Thursday,Winter,Cloudy,Potatoes,Vegetables,1.4,7284,4393579.118925492,27,90,90,,70
2004-01-03,Saturday,Winter,Snowy,Pork,Other,25.6,5845,3498379.2557217544,27,7,7,,55
2004-01-07,Wednesday,Winter,Cloudy,Salmon,Other,36.8,7717,4637180.476786766,16,3,3,,62
2004-01-03,Saturday,Winter,Snowy,Pork,Other,25.6,6179,3685498.3184521715,22,7,7,,65
2004-01-05,Monday,Winter,Cloudy,Milk,Dairy,5.2,7020,4221244.735129406,23,7,7,,65
2004-01-08,Thursday,Winter,Snowy,Salmon,Other,36.8,5643,3382802.0184753994,16,3,3,,50
2004-01-04,Sunday,Winter,Snowy,Pork,Other,25.6,5529,3304445.5156223997,23,7,7,,55
2004-01-11,Sunday,Winter,Cloudy,Lettuce,Vegetables,6.0,7300,4349662.363812205,6,5,1,,72
2004-01-01,Thursday,Winter,Snowy,Apples,Fruits,4.4,5896,3554636.1749142352,25,30,30,,50
2004-01-12,Monday,Winter,Cold,Lettuce,Vegetables,6.0,7342,4396264.415467505,22,5,5,,62
2004-01-01,Thursday,Winter,Cold,Apples,Fruits,4.4,7524,4516575.236716938,11,30,30,,62
2004-01-13,Tuesday,Winter,Cloudy,Lettuce,Vegetables,6.0,7420,4462819.051411018,19,5,5,,65
2004-01-04,Sunday,Winter,Snowy,Apples,Fruits,4.4,5789,3457858.890568933,6,30,1,,60
2004-01-10,Saturday,Winter,Cloudy,Potatoes,Vegetables,1.4,7777,4661038.019781052,21,90,90,,70
2004-01-16,Friday,Winter,Cold,Lettuce,Vegetables,6.0,7368,4432217.704217644,26,5,5,,60
2004-01-05,Monday,Winter,Cold,Pork,Other,25.6,7462,4482028.969583942,28,7,7,,67
2004-01-04,Sunday,Winter,Snowy,Apples,Fruits,4.4,6003,3583932.0316077247,11,30,30,,65
2004-01-05,Monday,Winter,Snowy,Eggs,Dairy,7.2,5559,3296488.444238166,13,21,21,,50
2004-01-07,Wednesday,Winter,Cloudy,Apples,Fruits,4.4,7438,4453318.674793336,19,30,30,,63
2004-01-10,Saturday,Winter,Cold,Salmon,Other,36.8,7714,4629808.934186022,8,3,1,,71
2004-01-01,Thursday,Winter,Cold,Chicken,Meat,19.5,7290,4355386.761902368,19,5,5,,63
2004-01-01,Thursday,Winter,Snowy,Chicken,Meat,19.5,5597,3333555.5825348594,18,5,5,,50
2004-01-19,Monday,Winter,Cold,Lettuce,Vegetables,6.0,7107,4263327.215103403,30,5,5,,60
2004-01-13,Tuesday,Winter,Snowy,Cheese,Dairy,28.0,5576,3341528.3013571594,4,90,1,,65
2004-01-12,Monday,Winter,Cold,Salmon,Other,36.8,7265,4346456.2528579,3,3,1,,73
2004-01-08,Thursday,Winter,Cold,Tomatoes,Vegetables,12.5,7432,4450562.967103154,26,10,10,,65
2004-01-06,Tuesday,Winter,Cold,Eggs,Dairy,7.2,7534,4516670.298940693,26,21,21,,65
2004-01-07,Wednesday,Winter,Cold,Eggs,Dairy,7.2,7742,4655634.573196536,12,21,21,,64
2004-01-05,Monday,Winter,Snowy,Pork,Other,25.6,5774,3463620.391036328,5,7,1,,65
2004-01-16,Friday,Winter,Cold,Cheese,Dairy,28.0,7170,4322485.69038614,29,90,90,,67
2004-01-08,Thursday,Winter,Cold,Milk,Dairy,5.2,7515,4545453.780078302,9,7,1,,75
2004-01-07,Wednesday,Winter,Cold,Apples,Fruits,4.4,7261,4357873.034264722,6,30,1,,71
2004-01-02,Friday,Winter,Cold,Chicken,Meat,19.5,7330,4401469.542602309,23,5,5,,64
2004-01-08,Thursday,Winter,Cold,Eggs,Dairy,7.2,7427,4458802.071432143,30,21,21,,62
2004-01-08,Thursday,Winter,Cloudy,Apples,Fruits,4.4,7650,4597620.7787939375,3,30,1,,73
2004-01-09,Friday,Winter,Cloudy,Eggs,Dairy,7.2,7515,4517220.56083044,25,21,21,,63
2004-01-17,Saturday,Winter,Cold,Cheese,Dairy,28.0,7449,4444167.854065947,19,90,90,,65
2004-01-09,Friday,Winter,Cold,Milk,Dairy,5.2,7956,4782299.212045119,13,7,7,,68
2004-01-11,Sunday,Winter,Cold,Milk,Dairy,5.2,7330,4381939.234785291,19,7,7,,65
2004-01-19,Monday,Winter,Snowy,Cheese,Dairy,28.0,6002,3579199.254282681,20,90,90,,69
2004-01-15,Thursday,Winter,Cloudy,Salmon,Other,36.8,7550,4542347.613976196,29,3,3,,63
2004-01-20,Tuesday,Winter,Cold,Cheese,Dairy,28.0,7446,4477303.424740616,11,90,90,,68
2004-01-11,Sunday,Winter,Cloudy,Milk,Dairy,5.2,7024,4218875.477005632,14,7,7,,65
2004-01-10,Saturday,Winter,Cold,Eggs,Dairy,7.2,7121,4304442.824219639,28,21,21,,60
2004-01-19,Monday,Winter,Cold,Lettuce,Vegetables,6.0,7463,4488729.2453168025,3,5,1,,70
2004-01-05,Monday,Winter,Snowy,Pork,Other,25.6,5769,3460471.898047139,19,7,7,,55
2004-01-14,Wednesday,Winter,Cold,Milk,Dairy,5.2,7283,4369861.526927703,11,7,7,,65
2004-01-11,Sunday,Winter,Snowy,Eggs,Dairy,7.2,5065,3053991.554381066,18,21,21,,50
2004-01-14,Wednesday,Winter,Cloudy,Eggs,Dairy,7.2,7455,4521157.132164125,5,21,1,,74
2004-01-11,Sunday,Winter,Cold,Potatoes,Vegetables,1.4,7225,4311519.201294499,2,90,1,,77
2004-01-21,Wednesday,Winter,Cold,Lettuce,Vegetables,6.0,7137,4277102.449257093,13,5,5,,60
2004-01-10,Saturday,Winter,Cold,Apples,Fruits,4.4,7538,4508632.62948627,9,30,1,,74
2004-01-11,Sunday,Winter,Cloudy,Apples,Fruits,4.4,7302,4349109.531485558,1,30,1,,72
2004-01-05,Monday,Winter,Cloudy,Pork,Other,25.6,7496,4505134.6194082005,29,7,7,,69
2004-01-13,Tuesday,Winter,Cloudy,Apples,Fruits,4.4,7406,4471276.937310298,23,30,30,,61
2004-01-05,Monday,Winter,Cloudy,Chicken,Meat,19.5,7193,4315052.167231915,26,5,5,,63
2004-01-21,Wednesday,Winter,Snowy,Cheese,Dairy,28.0,5571,3350330.0921116024,18,90,90,,55
2004-01-14,Wednesday,Winter,Cold,Eggs,Dairy,7.2,7267,4361657.031941238,11,21,21,,65
2004-01-07,Wednesday,Winter,Cold,Chicken,Meat,19.5,7283,4358689.486312516,11,5,5,,61
2004-01-15,Thursday,Winter,Snowy,Milk,Dairy,5.2,6246,3732520.979031216,22,7,7,,67
2004-01-08,Thursday,Winter,Snowy,Chicken,Meat,19.5,5796,3514562.686060907,6,5,1,,60
2004-01-22,Thursday,Winter,Cold,Lettuce,Vegetables,6.0,7485,4492858.716518055,7,5,1,,73
