Date,Day_of_Week,Season,Weather,Product,Category,Unit_Price,Num_Customers,Sales,Stocks,Shelf_Life,Days_Until_Next_Purchase,Event,Purchase_Quantity
2004-01-03,Saturday,Winter,Cloudy,Lettuce,Vegetables,6.0,8211,5040903.910309233,21,5,5,,24
2004-01-03,Saturday,Winter,Cold,Tomatoes,Vegetables,12.5,8664,5284655.655697601,21,10,10,,27
2004-01-01,Thursday,Winter,Cloudy,Apples,Fruits,4.4,6465,3921023.8912285366,6,30,1,,48
2004-01-01,Thursday,Winter,Snowy,Salmon,Seafood,36.8,5784,3560252.857011815,12,3,3,,15
2004-01-02,Friday,Winter,Snowy,Chicken,Meat,19.5,7424,4624862.751227678,7,5,1,,46
2004-01-01,Thursday,Winter,Cloudy,Pork,Meat,25.6,6551,3977150.8205935727,20,7,7,,30
2004-01-02,Friday,Winter,Cloudy,Apples,Fruits,4.4,8402,5094637.165194376,15,30,30,,27
2004-01-01,Thursday,Winter,Snowy,Cheese,Dairy,28.0,5721,3556918.263645693,21,9,9,,18
2004-01-04,Sunday,Winter,Snowy,Tomatoes,Vegetables,12.5,7312,4429751.850123125,17,10,10,,25
2004-01-03,Saturday,Winter,Cold,Chicken,Meat,19.5,8311,5196918.62115528,27,5,5,,29
2004-01-02,Friday,Winter,Snowy,Pork,Meat,25.6,7552,4710194.79031981,15,7,7,,28
2004-01-06,Tuesday,Winter,Cold,Chicken,Meat,19.5,6724,4084103.3176236595,16,5,5,,24
2004-01-06,Tuesday,Winter,Cloudy,Lettuce,Vegetables,6.0,6454,3956013.586898051,4,5,1,,48
2004-01-01,Thursday,Winter,Cold,Salmon,Seafood,36.8,6492,4065903.7192506734,17,3,3,,21
2004-01-02,Friday,Winter,Snowy,Eggs,Dairy,7.2,7544,4754506.273575151,17,21,21,,23
2004-01-05,Monday,Winter,Cloudy,Eggs,Dairy,7.2,6665,4099513.7944210786,12,21,21,,23
2004-01-09,Friday,Winter,Snowy,Lettuce,Vegetables,6.0,7355,4520595.9026663285,11,5,5,,26
2004-01-05,Monday,Winter,Snowy,Tomatoes,Vegetables,12.5,5586,3492760.312803941,27,10,10,,14
2004-01-02,Friday,Winter,Cold,Cheese,Dairy,28.0,8223,4974992.666451201,20,9,9,,25
2004-01-07,Wednesday,Winter,Cold,Eggs,Dairy,7.2,6583,4103509.9639742593,24,21,21,,30
2004-01-03,Saturday,Winter,Cloudy,Cheese,Dairy,28.0,8113,4897500.966344582,18,9,9,,27
2004-01-08,Thursday,Winter,Cloudy,Eggs,Dairy,7.2,6592,4070331.4503272697,14,21,21,,26
2004-01-03,Saturday,Winter,Cloudy,Cheese,Dairy,28.0,8451,5159605.6427137405,15,9,9,,29
2004-01-05,Monday,Winter,Cloudy,Tomatoes,Vegetables,12.5,6615,4132395.5185046718,9,10,1,,49
2004-01-02,Friday,Winter,Snowy,Potatoes,Vegetables,1.4,7478,4574119.7871574415,20,9,9,,25
2004-01-06,Tuesday,Winter,Snowy,Chicken,Meat,19.5,5545,3443659.9047338883,10,5,5,,25
2004-01-02,Friday,Winter,Cloudy,Potatoes,Vegetables,1.4,8640,5345110.165008077,21,9,9,,31
2004-01-08,Thursday,Winter,Cold,Tomatoes,Vegetables,12.5,6751,4199002.0210380675,29,10,10,,22
2004-01-02,Friday,Winter,Cold,Potatoes,Vegetables,1.4,8178,5194451.133073142,6,9,1,,58
2004-01-01,Thursday,Winter,Snowy,Milk,Dairy,5.2,5942,3666565.37837454,13,7,7,,20
