chunk_id,content
1,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cold, Product = Milk, Category = Dairy, Unit_Price = 56.38, Num_Customers = 6576, Sales = 4091888.043020025, Stocks = 13, Shelf_Life = 7, Days_Until_Next_Purchase = 7, Event = Daily event, Predict_Quantity = 32.84199444653777"
2,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cold, Product = Eggs, Category = Dairy, Unit_Price = 78.07, Num_Customers = 6576, Sales = 4091888.043020025, Stocks = 11, Shelf_Life = 21, Days_Until_Next_Purchase = 21, Event = Daily event, Predict_Quantity = 34.26142169625722"
3,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cold, Product = Chicken, Category = Meat, Unit_Price = 211.43, Num_Customers = 6576, Sales = 4091888.043020025, Stocks = 24, Shelf_Life = 5, Days_Until_Next_Purchase = 5, Event = Daily event, Predict_Quantity = 36.381726045167696"
4,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cold, Product = Tomatoes, Category = Vegetables, Unit_Price = 135.53, Num_Customers = 6576, Sales = 4091888.043020025, Stocks = 18, Shelf_Life = 10, Days_Until_Next_Purchase = 10, Event = Daily event, Predict_Quantity = 34.78593468637963"
5,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cold, Product = Apples, Category = Fruits, Unit_Price = 47.71, Num_Customers = 6576, Sales = 4091888.043020025, Stocks = 20, Shelf_Life = 30, Days_Until_Next_Purchase = 30, Event = Daily event, Predict_Quantity = 34.05688697614134"
6,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cold, Product = Salmon, Category = Seafood, Unit_Price = 399.01, Num_Customers = 6576, Sales = 4091888.043020025, Stocks = 14, Shelf_Life = 3, Days_Until_Next_Purchase = 3, Event = Daily event, Predict_Quantity = 40.07004264938541"
7,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cold, Product = Cheese, Category = Dairy, Unit_Price = 303.59, Num_Customers = 6576, Sales = 4091888.043020025, Stocks = 8, Shelf_Life = 9, Days_Until_Next_Purchase = 1, Event = Daily event, Predict_Quantity = 33.62672862155033"
8,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cold, Product = Lettuce, Category = Vegetables, Unit_Price = 65.06, Num_Customers = 6576, Sales = 4091888.043020025, Stocks = 8, Shelf_Life = 5, Days_Until_Next_Purchase = 1, Event = Daily event, Predict_Quantity = 35.85788584111742"
9,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cold, Product = Pork, Category = Meat, Unit_Price = 277.57, Num_Customers = 6576, Sales = 4091888.043020025, Stocks = 4, Shelf_Life = 7, Days_Until_Next_Purchase = 1, Event = Daily event, Predict_Quantity = 35.441184132322114"
10,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cold, Product = Potatoes, Category = Vegetables, Unit_Price = 15.18, Num_Customers = 6576, Sales = 4091888.043020025, Stocks = 6, Shelf_Life = 9, Days_Until_Next_Purchase = 1, Event = Daily event, Predict_Quantity = 34.11639454223355"
