chunk_id,content
1,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Milk, Category = Dairy, Unit_Price = 56.38, Num_Customers = 6697, Sales = 4143151.986091458, Stocks = 2, Shelf_Life = 7, Days_Until_Next_Purchase = 1, Event = Daily event, Predict_Quantity = 34.99500437737406"
2,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Eggs, Category = Dairy, Unit_Price = 78.07, Num_Customers = 6697, Sales = 4143151.986091458, Stocks = 22, Shelf_Life = 21, Days_Until_Next_Purchase = 21, Event = Daily event, Predict_Quantity = 35.216663516036945"
3,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Chicken, Category = Meat, Unit_Price = 211.43, Num_Customers = 6697, Sales = 4143151.986091458, Stocks = 23, Shelf_Life = 5, Days_Until_Next_Purchase = 5, Event = Daily event, Predict_Quantity = 41.65119250265815"
4,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Tomatoes, Category = Vegetables, Unit_Price = 135.53, Num_Customers = 6697, Sales = 4143151.986091458, Stocks = 11, Shelf_Life = 10, Days_Until_Next_Purchase = 10, Event = Daily event, Predict_Quantity = 37.08560571786148"
5,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Apples, Category = Fruits, Unit_Price = 47.71, Num_Customers = 6697, Sales = 4143151.986091458, Stocks = 21, Shelf_Life = 30, Days_Until_Next_Purchase = 30, Event = Daily event, Predict_Quantity = 35.94012151284919"
6,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Salmon, Category = Seafood, Unit_Price = 399.01, Num_Customers = 6697, Sales = 4143151.986091458, Stocks = 14, Shelf_Life = 3, Days_Until_Next_Purchase = 3, Event = Daily event, Predict_Quantity = 40.79546671994041"
7,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Cheese, Category = Dairy, Unit_Price = 303.59, Num_Customers = 6697, Sales = 4143151.986091458, Stocks = 21, Shelf_Life = 9, Days_Until_Next_Purchase = 9, Event = Daily event, Predict_Quantity = 34.89569411467639"
8,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Lettuce, Category = Vegetables, Unit_Price = 65.06, Num_Customers = 6697, Sales = 4143151.986091458, Stocks = 10, Shelf_Life = 5, Days_Until_Next_Purchase = 5, Event = Daily event, Predict_Quantity = 39.47734594315172"
9,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Pork, Category = Meat, Unit_Price = 277.57, Num_Customers = 6697, Sales = 4143151.986091458, Stocks = 15, Shelf_Life = 7, Days_Until_Next_Purchase = 7, Event = Daily event, Predict_Quantity = 35.71296232763898"
10,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Potatoes, Category = Vegetables, Unit_Price = 15.18, Num_Customers = 6697, Sales = 4143151.986091458, Stocks = 6, Shelf_Life = 9, Days_Until_Next_Purchase = 1, Event = Daily event, Predict_Quantity = 34.82692891323291"
