chunk_id,content
1,міністерство освіти науки укр національний університет «львівська політехніка» інститут компютерних наук інформаційних технологій кафедра систем штучного інтелекту звіт лабораторна робота 4 курсу моделювання аналіз даних інформаційних системах виконала студентка групи ші32 якимів анастасія викладач пелещишин оп львів 2024р
2,тема симуляція типів смо допомогою simpy мета дослідження різнотипних смо допомогою simpy завдання індивідуальні завдання обрати задачу переліку групі задачі повинні повторюватись кожної задачі підібрати варіант смо варіанти смо характеризує обрати варіант смо 1 смо втратами очікування 2 багатоканальні смо втратами очікування 3 смо очікуванням багатоканальні пристрої 4 смо повторними викликами обмеженою кількістю місць черзі залежно варіанту потрібно  побудувати записати модель смо вигляді блок схеми  реалізувати модель python використовуючи simpy  виконати імітаційне моделювання включіть звіт код програми результати моделювання короткий аналіз отриманих результатів  виконати покрокове виконання моделі додати знімки підтвердженням правильності алгоритму вихідні дані залежать прізвища хід роботи
3,хід роботи даної лабораторної роботи обрала задачу система пошуку збоїв банківській мережі задачу система пошуку збоїв банківській мережі віднести смо повторними викликами очікуванням черзі обмеженою кількістю місць черзі варіант 4 варіант підходить специфіку задачі повторні виклики виявлення збою система повторювати перевірки запити підтвердити вирішити проблему черга обмеженою кількістю місць мережа обр обляти обмежену кількість запитів черга переповнюється запити втрачатися користувачам доведеться повторно намагатися підключитися дозволить змоделювати поведінку системи відбувається моніторинг мережі ур ахуванням обмежень кількість місць черзі можливих повторних перевірок стабільності роботи вихідні дані даному варіанті смо ихідні дані визначаються моє прізвище якимів
4,моє прізвище якимів розрахуємо вихідні дані основі мого прізвища 1 кількість літер прізвищі кп прізвищі якимів 6 букв кп 6 2 кількість голосних літер кг голосні прізвищі кг 3 3 кількість приголосних літер кприг приголосні прізвищі кпри 3
5,вихідні дані 1 кількість заявок 200 кп 200 6 1200 заявок 2 кількість обслуговуючих каналів кг 3 3 кількість місць черзі кприг 3 дані використовувати реалізації обраної моделі simpy побудувати записати модель смо вигляді блок схеми табличний опис блок схеми етап опис вхідний запит запит надходить систему обслуговування вільний обслуговуючий канал перевіряється доступний обслуговуючий канал 3 каналів вільний канал запит переходить обробку канали зайняті запит надходить чергу очікування черзі черга обмежена 3 місць перевіряється вільне черзі запит стає чергу очікуючи звільнення каналів черга заповнена черга повна переходимо повторного виклику повторний виклик зробити повторний виклик запиту
6,повторний виклик запит повторно намагається зайти систему певного часу відмова повторний виклик недоступний запит відхиляється системою вихід системи обслуговування відмови запит виходить системи блоксхема системи масового обслуговування повторними викликами очікуванням черзі обмеженою кількістю місць 3 місця обслуговує 1200 заявок 3 обслуговуючих канали виглядатиме створювала блок схему допомогою сервісу lucidchart посилання блок схему реалізувати модель python використовуючи simpy лабораторну роботу виконувала середовищі google colab посилання нотбук
7,1 імпорт необхідних бібліотек 2 ініціалізуємо вихідні параметри моделі змінні збору статистики 3 створ юємо процес обслуговування запитів 4 генеруємо потік запиті 5 створ юємо модел ь запуск аємо симуляці результати моделювання уривок
8,1 обслуговування запитів o запити обслуговуються порядку надходження канали вільні запит 0 обслуговується позначці часу 000 запит 1 197 o обслуговування кожного запиту змінюється надходження обслуговування запитів слідує випадковому роз поділу 2 формування черги o початкові запити 0 45 обслуговуються затримок системі вистачає ресурсів o починаючи запиту 46 очікує черзі 4818 обслуговується 4918 черга починає заповнюватися обмеженість ресурсів оскі льки канали зайняті o запити заповнення черги потрапити обслуговування запити 493 494 496 497 роблять повторні виклики система момент перевантажена затримує обробку 3 повторні виклики o запит зайняти канал перевантаженість заповнену
9,чергу повторно пробують отримати доступ певний інтервал часу o повторні виклики відбуваються запитів 493 494 497 спершу змогли отримати обслуговування повторно намагаються зробити нарешті отримують доступ
10,аналіз навантаження 1 пропускна здатність системи o початку моделювання система ефективно обробляє запити використовуючи доступні канали o збільшенні кількості запитів часу моделювання система досягає навантаження призводить черг повторних викликів 2 середній обслуговування черги o система обмежену здатність обробляти запити зростає середня довжина черги o середній очікуванн черзі кількість повторних викликів показують наскільки система наближається межі ефективної роботи внести корективи програмний код отримання наступних результатів 1 дослідити параметри загальної черги середнє значення довжини черги максимальну довжину черги розподіл довжини черги відобразити графічно середній перебування заявки черзі максимальний перебування заявки черзі 2 дослідити кількість повторних викликів смо необхідно
11,визначити скільки середньому викликів робить користувач обслуженим 3 зібрану статистику попередній програмі різними результатами ситуацій представити графічно вигляді гістограми 4 дослідити параметри черг кожного каналів параметри п1 5 дослідити залежність кількості відмов обслуговуванні кількості повторних викликів росту інтенсивності вхідного потоку заявок збільшити інтенсивність вхідного потоку 1х 2х 5х 10х 20х 50х 100х виконати вимоги внесемо корективи код 1 збір обчислення статистики черги середня максимальна довжина черги перебування заявок черзі 2 аналіз повторних викликів середня кількість повторних спроб одну заявку 3 графічне представлення результатів гіст ограми довжини черги повторних викликів 4 дослідження параметрів черг кожного каналу 5 моделювання інтенсивностей вхідного потоку
12,модифікований код import simpy import random import numpy as np import matplotlibpyplot as plt вихідні параметри numrequests 500 numchannels 3 queuecapacity 3 retrydelay 1 змінні збору статистики queuelengths timeinqueue retrycounts failedrequests 0 лічильник відмов def requestservice env requesti d server queue retrycounts процес обробки запиту повторними викликами обмеженою чергою можливими відмовами global failedrequests arrivaltime envnow retrycount 0 while true with serverrequest as req result yield req envtimeoutretrydelay if req result запит обслуговується waittime envnow arrivaltime timeinqueueappendwaittime queuelengthsappend lenqueueitems
13,printfзапит requestid обслуговується envnow 2f очікування waittime 2f yield envtimeoutrandomexpovariate 10 break elif lenqueueitems queuecapacity черзі queuelengthsappend lenqueueitems queueputrequestid yield envtimeoutretrydelay else черга заповнена потрібно відмовити retrycount 1 retrycountsappendretrycount failedrequests 1 фіксуємо відмову printfзапит requestid відхилено envnow 2f retrycount повторних спроб break def generaterequests env server queue intensitymultiplier генератор запитів інтервалом прибуття враховуючи множник інтенсивності 1 століття rangenumrequests
