chunk_id,content
1,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Snowy, Product = Milk, Category = Dairy, Unit_Price = 56.38, Num_Customers = 5508, Sales = 3426959.199710822, Stocks = 28, Shelf_Life = 7, Days_Until_Next_Purchase = 7, Event = Daily event, Predict_Quantity = 37.90974"
2,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Snowy, Product = Eggs, Category = Dairy, Unit_Price = 78.07, Num_Customers = 5508, Sales = 3426959.199710822, Stocks = 6, Shelf_Life = 21, Days_Until_Next_Purchase = 1, Event = Daily event, Predict_Quantity = 38.60026"
3,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Snowy, Product = Chicken, Category = Meat, Unit_Price = 211.43, Num_Customers = 5508, Sales = 3426959.199710822, Stocks = 8, Shelf_Life = 5, Days_Until_Next_Purchase = 1, Event = Daily event, Predict_Quantity = 42.873516"
4,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Snowy, Product = Tomatoes, Category = Vegetables, Unit_Price = 135.53, Num_Customers = 5508, Sales = 3426959.199710822, Stocks = 25, Shelf_Life = 10, Days_Until_Next_Purchase = 10, Event = Daily event, Predict_Quantity = 40.123623"
5,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Snowy, Product = Apples, Category = Fruits, Unit_Price = 47.71, Num_Customers = 5508, Sales = 3426959.199710822, Stocks = 23, Shelf_Life = 30, Days_Until_Next_Purchase = 30, Event = Daily event, Predict_Quantity = 39.805866"
6,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Snowy, Product = Salmon, Category = Seafood, Unit_Price = 399.01, Num_Customers = 5508, Sales = 3426959.199710822, Stocks = 7, Shelf_Life = 3, Days_Until_Next_Purchase = 1, Event = Daily event, Predict_Quantity = 43.351856"
7,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Snowy, Product = Cheese, Category = Dairy, Unit_Price = 303.59, Num_Customers = 5508, Sales = 3426959.199710822, Stocks = 22, Shelf_Life = 9, Days_Until_Next_Purchase = 9, Event = Daily event, Predict_Quantity = 37.233635"
8,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Snowy, Product = Lettuce, Category = Vegetables, Unit_Price = 65.06, Num_Customers = 5508, Sales = 3426959.199710822, Stocks = 24, Shelf_Life = 5, Days_Until_Next_Purchase = 5, Event = Daily event, Predict_Quantity = 41.520977"
9,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Snowy, Product = Pork, Category = Meat, Unit_Price = 277.57, Num_Customers = 5508, Sales = 3426959.199710822, Stocks = 27, Shelf_Life = 7, Days_Until_Next_Purchase = 7, Event = Daily event, Predict_Quantity = 40.429485"
10,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Snowy, Product = Potatoes, Category = Vegetables, Unit_Price = 15.18, Num_Customers = 5508, Sales = 3426959.199710822, Stocks = 30, Shelf_Life = 9, Days_Until_Next_Purchase = 9, Event = Daily event, Predict_Quantity = 38.473167"
