chunk_id,content
1,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Milk, Category = Dairy, Unit_Price = 56.38, Num_Customers = 6633, Sales = 4108558.251863027, Stocks = 21, Shelf_Life = 7, Days_Until_Next_Purchase = 7, Event = Daily event, Predict_Quantity = 40.001131861912846"
2,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Eggs, Category = Dairy, Unit_Price = 78.07, Num_Customers = 6633, Sales = 4108558.251863027, Stocks = 22, Shelf_Life = 21, Days_Until_Next_Purchase = 21, Event = Daily event, Predict_Quantity = 40.001131861912846"
3,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Chicken, Category = Meat, Unit_Price = 211.43, Num_Customers = 6633, Sales = 4108558.251863027, Stocks = 20, Shelf_Life = 5, Days_Until_Next_Purchase = 5, Event = Daily event, Predict_Quantity = 42.1764705882353"
4,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Tomatoes, Category = Vegetables, Unit_Price = 135.53, Num_Customers = 6633, Sales = 4108558.251863027, Stocks = 9, Shelf_Life = 10, Days_Until_Next_Purchase = 1, Event = Daily event, Predict_Quantity = 40.001131861912846"
5,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Apples, Category = Fruits, Unit_Price = 47.71, Num_Customers = 6633, Sales = 4108558.251863027, Stocks = 29, Shelf_Life = 30, Days_Until_Next_Purchase = 30, Event = Daily event, Predict_Quantity = 40.001131861912846"
6,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Salmon, Category = Seafood, Unit_Price = 399.01, Num_Customers = 6633, Sales = 4108558.251863027, Stocks = 7, Shelf_Life = 3, Days_Until_Next_Purchase = 1, Event = Daily event, Predict_Quantity = 42.24242424242424"
7,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Cheese, Category = Dairy, Unit_Price = 303.59, Num_Customers = 6633, Sales = 4108558.251863027, Stocks = 25, Shelf_Life = 9, Days_Until_Next_Purchase = 9, Event = Daily event, Predict_Quantity = 40.001131861912846"
8,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Lettuce, Category = Vegetables, Unit_Price = 65.06, Num_Customers = 6633, Sales = 4108558.251863027, Stocks = 10, Shelf_Life = 5, Days_Until_Next_Purchase = 5, Event = Daily event, Predict_Quantity = 40.001131861912846"
9,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Pork, Category = Meat, Unit_Price = 277.57, Num_Customers = 6633, Sales = 4108558.251863027, Stocks = 26, Shelf_Life = 7, Days_Until_Next_Purchase = 7, Event = Daily event, Predict_Quantity = 40.001131861912846"
10,"Date = 2025-01-08, Day_of_Week = Wednesday, Season = Winter, Weather = Cloudy, Product = Potatoes, Category = Vegetables, Unit_Price = 15.18, Num_Customers = 6633, Sales = 4108558.251863027, Stocks = 20, Shelf_Life = 9, Days_Until_Next_Purchase = 9, Event = Daily event, Predict_Quantity = 40.001131861912846"
